Keyword Stats 2025-01-27 at 12_05_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - December 31, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024
unv camera customer care number,AED,30,200%,-40%,Low,0,,,,,,,,50,30,30,30,30,30,40,40,50,20,40,50,50,20,10,10,10,10,10,10,10,10,10,30
uniview dome camera,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10
cctv camera price in sharjah,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,10,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
ip camera price in dubai,AED,10,-100%,0%,Unknown,,,,,,,,,0,10,10,0,0,10,0,10,10,0,10,0,0,10,0,0,0,0,10,10,10,10,0,0
cctv distributors in uae,AED,10,∞,0%,Low,0,,,,,,,,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10
uniview 4 channel nvr,AED,10,0%,0%,Medium,57,,,,,,,,0,0,10,10,10,10,0,10,0,0,10,10,10,10,20,10,0,0,10,10,10,10,10,10
uniview camera installation,AED,10,∞,∞,Low,0,,,,,,,,10,10,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10,0,0,10
cctv suppliers in abu dhabi,AED,10,-86%,0%,Low,0,,,,,,,,0,0,0,0,10,0,0,0,10,0,0,10,0,10,0,10,10,10,10,10,10,70,10,10
camera ip uniview,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camera ip unv,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,10,10,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0
camera uni,AED,10,0%,0%,Low,7,,,,,,,,10,0,0,0,10,0,0,10,10,10,10,10,0,0,0,0,0,0,10,10,0,10,10,10
cctv camera dealers in dubai,AED,20,100%,0%,Low,8,,,,,,,,10,20,10,10,20,40,50,10,70,50,20,20,50,20,20,40,20,10,10,30,10,10,10,20
cctv camera for home price in dubai,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,10,0,0,0,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0
cctv camera shops in abu dhabi,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
cctv camera shops in bur dubai,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
cctv camera shops in dubai,AED,10,0%,0%,Low,23,,,,,,,,10,10,0,0,0,0,0,0,0,0,10,10,10,10,10,0,0,0,10,10,10,10,10,10
cctv camera suppliers in uae,AED,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,0,0,10,10,0,10,0,0,10,0,10,0,0,0,0,0,0,0,10,10,0
cctv camera unv,AED,20,-40%,200%,High,82,,,,,,,,10,10,10,20,20,30,10,10,10,20,20,10,10,20,30,10,20,20,20,10,10,50,20,30
cctv dealers in dubai,AED,30,-86%,-33%,Low,26,42.48,93.9,5%,,,,,20,10,10,10,20,10,30,20,50,20,10,30,40,50,20,20,30,10,30,40,20,140,10,20
cctv in abu dhabi,AED,20,350%,800%,Low,12,26.52,181.19,2%,,,,,90,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,30,20,10,10,20,20,50,90
cctv price in dubai,AED,30,50%,50%,Medium,52,27.86,123.27,10%,,,,,20,40,20,20,40,50,40,30,40,30,20,20,50,30,30,30,30,20,20,30,20,20,30,30
cctv shops in dubai,AED,10,∞,∞,High,86,,,,,,,,10,10,10,10,10,10,10,0,20,0,0,0,10,0,0,0,0,10,10,20,10,0,50,10
default ip unv camera,AED,10,0%,0%,Low,0,,,,,,,,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,0,10,10,10
firmware uniview,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ip camera dubai,AED,10,-100%,0%,Unknown,,,,,,,,,10,10,10,10,0,10,10,10,0,0,0,0,10,10,0,10,10,10,10,10,0,10,10,0
ip camera training,AED,10,0%,0%,Low,11,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ip camera training course,AED,10,0%,-100%,Unknown,,,,,,,,,10,10,10,0,10,0,10,10,0,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0
ip camera uae,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0
ip camera uniview,AED,30,50%,50%,Medium,48,,,,,,,,20,40,20,30,40,30,10,40,50,40,20,20,30,40,30,10,50,20,20,20,20,20,30,30
ip camera unv,AED,20,0%,100%,High,87,0.7,39.49,,,,,,20,20,30,10,10,10,10,10,10,10,10,10,20,40,30,10,10,10,20,20,30,20,10,20
ip unv,AED,90500,22%,0%,Low,1,20.38,65.92,,,,,,60500,60500,90500,110000,135000,165000,165000,135000,74000,40500,27100,33100,49500,110000,135000,135000,165000,135000,165000,110000,60500,27100,33100,33100
ipc322lr3,AED,10,∞,0%,Low,0,,,,,,,,10,0,10,10,10,0,10,0,0,10,0,10,0,10,10,10,0,10,10,10,0,0,0,10
ipc322sr3,AED,10,∞,0%,Low,0,,,,,,,,0,10,0,0,10,10,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,10
ipc324er3,AED,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,10,10,10,0,0,0,10,0
ipc324lr3,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0
kit uniview,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvr 301,AED,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,0,10,10,0,10,0
nvr 304,AED,10,0%,0%,Low,0,,,,,,,,0,10,0,0,0,10,10,0,10,0,10,10,0,0,0,0,0,0,10,10,0,10,10,10
nvr308,AED,10,∞,0%,Low,0,,,,,,,,0,10,0,10,10,10,10,10,0,0,10,10,0,10,10,0,10,10,0,10,10,0,0,10
price of cctv camera in dubai,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security camera uae,AED,10,0%,0%,Medium,42,20.67,63.13,,,,,,20,10,10,10,30,10,10,10,10,10,10,10,10,20,10,20,10,10,20,20,10,10,10,10
uae cctv,AED,10,0%,0%,Low,26,36.85,65.71,,,,,,10,20,10,10,10,20,10,10,10,10,20,10,10,10,20,10,20,10,10,20,10,10,10,10
uni cctv,AED,720,-58%,39%,Medium,44,0.74,19.83,,,,,,720,720,880,590,590,590,720,720,720,720,590,720,720,590,720,720,590,480,1000,590,590,2400,880,1000
uni cctv camera,AED,20,-33%,100%,High,80,0.68,12.42,,,,,,20,20,30,20,30,30,40,20,20,40,10,10,10,10,10,10,10,20,30,20,20,30,30,20
uni security cameras,AED,720,-58%,39%,Medium,44,0.74,19.83,,,,,,720,720,880,590,590,590,720,720,720,720,590,720,720,590,720,720,590,480,1000,590,590,2400,880,1000
uniview 8mp,AED,10,0%,∞,Low,14,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,10
uniview camera default ip,AED,10,0%,-50%,Low,0,,,,,,,,20,10,10,10,20,20,10,10,10,20,10,20,10,10,10,20,10,20,20,10,10,10,10,10
uniview camera software,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
uniview cat6 cable,AED,10,-100%,0%,Unknown,,,,,,,,,10,0,0,10,0,0,10,0,0,0,0,0,10,0,0,10,10,10,0,10,0,10,0,0
uniview cctv camera price,AED,10,0%,0%,Medium,63,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
uniview china,AED,10,0%,0%,Low,2,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
uniview company,AED,10,0%,0%,Low,0,,,,,,,,10,10,0,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
uniview customer support,AED,10,0%,-50%,Low,0,,,,,,,,10,10,10,10,10,10,20,10,20,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10
uniview default ip,AED,10,0%,-50%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
uniview default username and password,AED,10,∞,0%,Low,0,,,,,,,,0,10,10,10,0,0,0,0,10,10,10,10,0,0,10,10,0,0,0,10,0,0,10,10
uniview distributor uae,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
uniview dome,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,10,10,0,10,10,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0
uniview download,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
uniview dubai,AED,10,0%,0%,Low,14,,,,,,,,0,0,0,0,0,0,10,0,10,0,0,10,10,10,0,10,10,0,10,10,10,10,10,10
uniview firmware,AED,10,0%,0%,Low,0,,,,,,,,10,10,0,10,10,0,0,0,0,10,0,10,10,10,0,0,0,0,0,10,0,10,0,10
uniview firmware download,AED,10,∞,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,0,0,10,10
uniview ip,AED,10,∞,0%,Low,0,,,,,,,,10,10,10,0,10,0,10,10,10,0,0,10,10,0,0,0,10,0,0,0,0,0,0,10
uniview ip camera default ip,AED,10,0%,0%,Low,0,,,,,,,,20,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10
uniview ip camera software,AED,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,10,10,0,0,10,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0
uniview kit,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniview nvr 8 channel,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
uniview nvr default ip,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
uniview nvr firmware,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0
uniview nvr firmware download,AED,10,∞,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,0,0,10,0,10,10,0,10,10
uniview nvr firmware update,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
uniview nvr price,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,0,0,0,0,10,10,10,10,0,0,10,0,10,10,10,10,10,10,0,10
uniview nvr301,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
uniview products,AED,10,0%,0%,Low,0,,,,,,,,0,0,10,10,0,10,10,0,10,0,10,10,10,10,0,10,10,0,10,10,10,10,10,10
uniview security,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniview support number,AED,10,100%,100%,Low,0,,,,,,,,10,20,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,20
uniview surveillance,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0
uniview uae,AED,10,0%,∞,Low,6,,,,,,,,0,10,10,10,0,10,0,0,10,0,10,0,0,10,10,10,10,0,10,10,10,10,10,10
uniview unv,AED,10,0%,0%,Low,0,,,,,,,,10,0,0,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
unv 8ch nvr,AED,10,0%,0%,Low,17,,,,,,,,10,10,10,20,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,20,10,20
unv 8mp camera,AED,10,0%,0%,Low,27,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10
unv camera application,AED,70,-18%,80%,Low,6,0.17,2.59,,,,,,50,50,40,70,50,50,70,40,40,70,50,50,70,40,40,50,70,50,70,70,90,110,70,90
unv camera default ip,AED,170,-18%,-18%,Low,0,,,,,,,,170,140,140,170,170,170,170,170,210,210,140,170,140,140,170,140,170,170,170,140,140,170,140,140
unv camera default login,AED,10,0%,0%,Low,0,,,,,,,,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10
unv camera dubai,AED,10,0%,0%,Low,0,,,,,,,,0,0,0,0,10,0,0,10,0,10,0,10,0,10,10,0,0,0,0,0,10,10,0,10
unv camera firmware,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,0,0,0,10,10,10,0,10,0,10,0,0,0,10,10,0,0,0,0
unv camera ip,AED,590,-18%,0%,High,89,0.68,2.01,,,,,,390,480,590,480,590,590,720,720,720,590,590,720,720,590,720,720,590,590,880,720,590,880,590,720
unv cctv customer service number,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unv cctv default ip,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,0,10,10,10,10,10,10
unv cctv ip camera,AED,20,-50%,-67%,High,81,,,,,,,,20,20,20,20,10,20,10,10,20,40,10,30,30,30,20,10,10,10,10,10,10,20,20,10
unv cctv price,AED,10,-67%,0%,High,80,0.62,34.48,,,,,,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,30,20,10
unv cctv toll free number,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,0,10,0,10,0,0,10,0,0,0,0,0,0,0,10,0,10,0,10
unv company,AED,320,-33%,-18%,Low,1,,,,,,,,260,260,260,260,320,320,320,390,390,320,320,390,480,390,390,320,260,320,390,320,590,480,320,320
unv default ip,AED,70,0%,-22%,Low,0,,,,,,,,70,70,90,70,70,70,90,70,70,70,70,90,70,70,70,50,70,70,70,50,70,70,70,70
unv distributor dubai,AED,10,100%,∞,Low,6,,,,,,,,0,0,0,0,0,10,10,0,0,10,0,0,0,0,10,0,10,10,10,10,10,10,10,20
unv distributor in dubai,AED,10,400%,∞,Low,3,,,,,,,,10,10,10,0,0,10,0,0,10,0,10,0,10,0,10,10,30,20,10,20,10,10,20,50
unv distributor in uae,AED,10,0%,∞,Low,0,,,,,,Y,,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10
unv dome,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10
unv dubai,AED,10,1300%,1300%,Low,1,,,,,,,,0,10,10,0,0,10,0,0,10,10,10,10,10,10,30,10,10,10,10,10,10,10,90,140
unv firmware,AED,10,0%,∞,Low,0,,,,,,,,10,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,10,0,10,10,10,10,10,10
unv firmware download,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10
unv firmware update,AED,10,∞,0%,Low,0,,,,,,,,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,0,10
